"wife_familyname_std","husband_familyname_std","year","marriage_number","husband_accession_after_marriage","wife_accession_after_marriage"
"Capello","Trevisan",1597,2,TRUE,NA
"Capello","Trevisan",1422,1,TRUE,NA
"Cassetti","Vanaxel",1650,1,NA,TRUE
"Castelli","Manzoni",1682,1,TRUE,TRUE
"Cavalli","Trevisan",1636,1,TRUE,FALSE
"Cavagnis","Querini",1627,1,FALSE,TRUE
"Cavagnis","Manfrotto",1698,1,FALSE,TRUE
"Cavagnis","Pizzamano",1672,1,FALSE,TRUE
"","Angaran",1550,1,TRUE,NA
"","Angaran",1590,1,TRUE,NA
"Cocco","Trevisan",1575,1,TRUE,FALSE
"","Veronese",1664,1,TRUE,NA
"Contarini","Trevisan",1543,1,TRUE,FALSE
"Contarini","Dolce",1599,1,TRUE,FALSE
"Contarini","Trevisan",1469,1,TRUE,FALSE
"Contarini","Trevisan",1526,1,TRUE,FALSE
"Contarini","Trevisan",1546,1,TRUE,FALSE
"Contarini","Trevisan",1446,1,TRUE,FALSE
"Contarini","Trevisan",1617,1,TRUE,FALSE
"Conti","Avogadro",1563,1,FALSE,TRUE
"Conti","Donato",1661,1,FALSE,TRUE
"Conti","Cocco",1491,1,FALSE,TRUE
"Conti","Mosto",1420,1,NA,TRUE
"Conti","Soranzo",1489,1,FALSE,TRUE
"Corner","Trevisan",1574,1,TRUE,FALSE
"Corner","Trevisan",1495,1,TRUE,FALSE
"Corner","Trevisan",1581,1,TRUE,FALSE
"Corner","Trevisan",1508,1,TRUE,FALSE
"Corner","Manzoni",1683,1,TRUE,FALSE
"Crotta","Widman",1632,1,NA,TRUE
"Mosto","Trevisan",1464,1,TRUE,NA
"Mosto","Trevisan",1450,1,TRUE,NA
"","Manzoni",1612,1,TRUE,NA
"Dandolo","Trevisan",1685,1,TRUE,FALSE
"Deddo","Trevisan",1491,1,TRUE,FALSE
"Deddo","Trevisan",1535,1,TRUE,FALSE
"Deddo","Trevisan",1558,1,TRUE,FALSE
"Dolce","Duodo",1595,1,FALSE,TRUE
"Dolce","Lippomano",1513,1,FALSE,TRUE
"Dolfin","Trevisan",1611,1,TRUE,FALSE
"Dolfin","Trevisan",1480,1,TRUE,FALSE
"Dolfin","Trevisan",1584,1,TRUE,FALSE
"Donato","Trevisan",1618,1,TRUE,FALSE
"Donato","Trevisan",1410,1,TRUE,FALSE
"Donato","Trevisan",1415,1,TRUE,FALSE
"Dondiorologio","Scroffa",1667,1,TRUE,FALSE
"Duodo","Trevisan",1432,1,TRUE,FALSE
"Emo","Trevisan",1501,1,TRUE,FALSE
"","Zolio",1628,1,TRUE,NA
"Farsetti","Sangiantoffetti",1655,1,FALSE,TRUE
"Fini","Fini",1570,1,TRUE,TRUE
"Fini","Valier",1630,1,FALSE,TRUE
"Flangini","Salamon",1626,1,FALSE,TRUE
"Flangini","Soranzo",1605,1,FALSE,TRUE
"Flangini","Trevisan",1645,1,TRUE,TRUE
"Flangini","Arimondo",1603,1,FALSE,TRUE
"Flangini","Soranzo",1641,1,FALSE,TRUE
"Flangini","Emo",1650,1,FALSE,TRUE
"Flangini","Badoer",1654,2,NA,TRUE
"Dalla Fontana","Redetti",1692,1,TRUE,NA
"Foscari","Trevisan",1526,1,TRUE,FALSE
"Foscarini","Trevisan",1581,1,TRUE,FALSE
"Foscarini","Trevisan",1626,1,TRUE,FALSE
"Foscolo","Trevisan",1577,1,TRUE,FALSE
"Foscolo","Trevisan",1615,2,TRUE,FALSE
"Foscolo","Trevisan",1484,1,TRUE,FALSE
"Fradello","Trevisan",1433,1,TRUE,FALSE
"Franceschi","Bragadin",1511,1,FALSE,TRUE
"Franceschi","Michiel",1545,1,FALSE,TRUE
"Franceschi","Spinelli",1692,1,TRUE,TRUE
"Franceschi","Zorzi",1547,1,FALSE,TRUE
"Franceschi","Balbi",1516,1,FALSE,TRUE
"Franceschi","Da Molin",1413,1,NA,TRUE
"Franceschi","Gritti",1513,1,FALSE,TRUE
"Franceschi","Salamon",1422,1,FALSE,TRUE
"Franceschi","Querini",1536,1,FALSE,TRUE
"Franceschi","Loredan",1572,1,FALSE,TRUE
"Franceschi","Canal",1425,1,FALSE,TRUE
"Franceschi","Da Molin",1442,2,NA,TRUE
"Franceschi","Semitecolo",1615,1,FALSE,TRUE
"Franceschi","Emo",1441,1,FALSE,TRUE
"Franceschi","Guoro",1468,1,FALSE,TRUE
"Franceschi","Lion",1453,1,FALSE,TRUE
"Franceschi","Semitecolo",1519,1,FALSE,TRUE
"Franceschi","Priuli",1709,1,FALSE,TRUE
"Franceschi","Vitturi",1712,2,FALSE,TRUE
"Franceschi","Mosto",1651,1,NA,TRUE
"Franceschi","Pisani",1428,1,FALSE,TRUE
"Franceschi","Deddo",1615,1,FALSE,TRUE
"Franceschi","Lombardo",1635,1,FALSE,TRUE
"Franceschi","Gritti",1513,1,FALSE,TRUE
"Franceschi","Longo",1447,1,FALSE,TRUE
"Franceschi","Tiepolo",1424,1,FALSE,TRUE
"Franceschi","Minio",1630,1,FALSE,TRUE
"Franceschi","Soderini",1638,1,TRUE,TRUE
"Franceschi","Canal",1466,1,FALSE,TRUE
"Franceschi","Pasqualigo",1458,1,FALSE,TRUE
"Franceschi","Contarini",1474,1,FALSE,TRUE
"Franceschi","Deddo",1608,1,FALSE,TRUE
