Family,Group,Accession
Abiconolo,Curti,?
Abramo,Curti,1297
Acotanto,Curti,1297
Acquisti,Curti,1686
Adamo,Curti,?
Addoldo,Curti,1310
Agadi,Curti,1297
Agrinal,Curti,1310
Aicardo (haicardo),Curti,1297
Alberto,Curti,1297
Albiringo,Curti,?
Albizzo,Curti,1297
Albrizzi,Curti,1667
Amboise,Curti,1501
Amizzo,Curti,1297
Angaran,Curti,1655
Angusuola,Curti,1499
Anselmi,Curti,1412
Antelmi,Curti,1646
Ardizon,Curti,1297
Darduin,Curti,1297
Ariani,Curti,1300
Ariberti,Curti,1655
Arimondo,Curti,1297
Arnaldi,Curti,1685
D'Avanzago,Curti,1297
Aventurado,Curti,?
Avogadro,Curti,1438
Avonal,Curti,1300
Babilonio,Curti,1298
Badoer,Lunghi,1297
Baffo,Curti,1297
Baglioni,Curti,1716
Balastri (balestro),Curti,1311
Balbi,Curti,1297
Balestrieri,Curti,1301
Baluchin,Curti,?
Balzolani,Curti,?
Banbazini,Curti,?
Barbaran,Curti,1665
Barbarigo,Curti,1297
Barbaro,Curti,1297
Barbetta,Curti,?
Barbetto,Curti,?
Barbo,Curti,1297
Barbolani,Curti,?
Barison,Curti,1317
Barozzi,Lunghi,1297
Barzizza,Curti,1694
Basadonna,Curti,1297
Baseggio,Lunghi,1297
Basodello,Curti,?
Battagia,Curti,1439
Battaglioni,Curti,1516
Belegno,Curti,1297
Belloni,Curti,1646
Bellotto,Curti,1685
Bembo,Lunghi,1297
Benado,Curti,?
Benedetti,Curti,1297
Beneto,Curti,?
Benfizi,Curti,1298
Bentivoglio,Curti,1488
Benzon (s. agostin),Curti,1407
Benzon (s. vidal),Curti,1685
Beregan,Curti,1649
Berengo,Curti,?
Berlendis,Curti,1662
Bernardo,Curti,1297
Betani,Curti,1297
Bettoni,Curti,1684
Bianco,Curti,?
Biaqua,Curti,?
Boccazo,Curti,1297
Dalle boccole,Curti,1300
Boldo,Curti,?
Boldu,Curti,1297
Bollani,Curti,1297
Bolpe,Curti,1297
Bon,Curti,1297
Bonaldi,Curti,?
Bonci (bonzi),Curti,1297
Bondumier,Curti,1297
Bonfadini,Curti,1648
Buoninsegna,Curti,1310
Bonlini,Curti,1667
Bonomo,Curti,1297
Bonvicini,Curti,1663
Bordinigo,Curti,?
Bordolo,Curti,?
Borini,Curti,?
Borselli,Curti,?
Bosebo,Curti,?
Bosso,Curti,1297
Bragadin,Lunghi,1297
Brandolini,Curti,1686
Brazolan,Curti,1297
Bredani,Curti,1381
Bregonzi,Curti,1665
Bressa,Curti,1652
Briani,Curti,1297
Brioso (brugloso),Curti,1297
Brisi (brizi),Curti,1303
Bristolani,Curti,?
Buora,Curti,1297
Buricaldo,Curti,1297
Businago,Curti,1297
Buzzaccarini,Curti,1782
Caiselli,Curti,1779
Calbo,Curti,1297
Calergi,Curti,1381
Canabri,Curti,?
Canal,Curti,1297
Cancanico,Curti,?
Caotorta,Curti,1297
Capello,Curti,1297
Caravello,Curti,1297
Carazacanevo,Curti,1297
Carbonizzi,Curti,?
Caresini,Curti,1381
Carminati,Curti,1687
Caroso,Curti,1297
Cassetti,Curti,1662
Castelli,Curti,1687
Casteroti,Curti,1416
Cattanio,Curti,?
Catti,Curti,1646
Cavagnis,Curti,1716
Cavalli,Curti,1381
Cavallier,Curti,?
Celini,Curti,1685
Celsi,Curti,1297
Cernovici,Curti,1473
Cicogna,Curti,1381
Civran,Curti,1297
Cocco,Curti,1297
Cocodrizi,Curti,?
Codeglioni (colleone),Curti,1450
Codognola,Curti,1717
Collalto,Curti,1297
